Kinase.Gene,log2FC,mS,Enrichment,m,z.score,p.value
PDK3,-0.215107017399359,-0.215107017399359,-8.88901580682036,4,-0.255090357047995,0.399326655909704
PDK4,-0.208717217493808,-0.208717217493808,-8.62496569330215,5,-0.275653883897426,0.391406959502609
PDPK1,0.189873462792202,0.189873462792202,7.8462722065553,4,0.286043125146616,0.387422545867692
PGK1,-1.28611762658712,-1.28611762658712,-53.1471267203635,2,-1.19230290371444,0.116571248190355
PIM1,-0.369470157716873,-0.369470157716873,-15.2678704386307,2,-0.326223598953493,0.372127593906994
PKM,-0.194683284953713,-0.194683284953713,-8.04503180881546,1,-0.113900119072619,0.454658485587954
PLK1,-2.03733808560213,-2.03733808560213,-84.1903284500119,2,-1.90208121540039,0.0285802689160479
PRKAA1,-1.79319612676523,-1.79319612676523,-74.1014817101578,2,-1.67140769569598,0.0473205884475256
PRKAA2,-1.0234316002666,-1.0234316002666,-42.2919706755992,2,-0.944108326439835,0.17255714741894
PRKAB1,-0.665196396206507,-0.665196396206507,-27.4883699844244,1,-0.428249094843021,0.334234888079097
PRKACA,-0.730514202899281,-0.730514202899281,-30.187542810948,27,-2.45200096502222,0.00710321404745292
PRKAG2,-0.665196396206507,-0.665196396206507,-27.4883699844244,1,-0.428249094843021,0.334234888079097
PRKCA,-0.433209814126011,-0.433209814126011,-17.9018282713045,9,-0.819777811466072,0.206171391165608
PRKCB,-0.207320791516823,-0.207320791516823,-8.56726021845275,1,-0.122343214810861,0.45131360428216
PRKCD,-0.404461373475828,-0.404461373475828,-16.7138366081293,3,-0.440031817419521,0.329957031543772
PRKCE,1.02417339097492,1.02417339097492,42.3226242052299,1,0.700415866020578,0.241833815325217
PRKCG,-0.934808846908156,-0.934808846908156,-38.6297514464393,1,-0.60837669534144,0.271468832168801
PRKCI,-0.758894702962204,-0.758894702962204,-31.3603298111807,1,-0.490848767531525,0.311766707440173
PRKCQ,-0.55559800472876,-0.55559800472876,-22.959359978028,2,-0.502083437998689,0.307804414897512
PRKCZ,-1.13464081374292,-1.13464081374292,-46.8875457916808,3,-1.28498091683025,0.0993994763326004
PRKD1,0.308594655184645,0.308594655184645,12.75227001425,5,0.497165075137854,0.309536323839523
PRKD2,-1.42077327886857,-1.42077327886857,-58.7115952164578,1,-0.933048671093303,0.175397419623392
PRKG1,-1.33849493040154,-1.33849493040154,-55.3115502113026,5,-1.96344355613121,0.0247973284838043
PRKG2,-5.35726166588126,-5.35726166588126,-221.381822894604,1,-3.56300958609251,0.000183313642922914
RAF1,-0.272524711682008,-0.272524711682008,-11.2617268333606,1,-0.165905838316859,0.434115526429836
RET,-0.252092173692296,-0.252092173692296,-10.4173789577783,1,-0.152254895897095,0.439492948973052
ROCK1,-0.325411202111211,-0.325411202111211,-13.4471917943649,4,-0.402478417691137,0.343665984366942
ROCK2,0.951600202617903,0.951600202617903,39.3236322325076,3,1.1291756188331,0.129411878344732
RPS6KA1,-0.404042607130687,-0.404042607130687,-16.6965316372998,4,-0.507545422372245,0.305886087041662
RPS6KA3,0.673200590169508,0.673200590169508,27.8191328182834,2,0.658926731016866,0.254971409772053
RPS6KA6,0.893726069338408,0.893726069338408,36.9320594621392,1,0.613264241617917,0.269850816643327
RPS6KB1,0.000232583049052104,0.000232583049052104,0.00961118992963542,2,0.0230839631842194,0.490791648901867
RPS6KB2,0.206998396100084,0.206998396100084,8.55393765003963,2,0.21844324545691,0.413541886997926
SGK1,-0.832370686685233,-0.832370686685233,-34.3966286201735,3,-0.935199948548353,0.174842632522064
SIK1,0.133270317789736,0.133270317789736,5.50722136234904,1,0.105205101710969,0.458106531305249
SLK,-0.984526613852361,-0.984526613852361,-40.6842730589367,1,-0.641593047325531,0.260568724233343
SRC,-0.59195708938621,-0.59195708938621,-24.4618515385034,1,-0.379318043753299,0.352225851061546
STK25,-0.24148967744832,-0.24148967744832,-9.97924468468997,1,-0.145171386946559,0.442287778248351
STK3,-0.68397740691042,-0.68397740691042,-28.2644706576311,1,-0.440796654810029,0.329680107752307
TBK1,0.633411795920887,0.633411795920887,26.1749130002303,2,0.621332942313566,0.267190291629189
TRIB2,0.28295594828059,0.28295594828059,11.6927840258711,1,0.2052098061645,0.418704104134581
